
INFO   | jvm 1    | 2015/07/16 16:44:56 | WrapperManager:           could be located on the following java.library.path:
INFO   | jvm 1    | 2015/07/16 16:44:56 | WrapperManager:             E:\WorkSpace\ReconciliationPro\ReconciliationService\bin\.
INFO   | jvm 1    | 2015/07/16 16:44:56 | WrapperManager:           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2015/07/16 16:44:56 | WrapperManager:           configuration property.
INFO   | jvm 1    | 2015/07/16 16:44:56 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2015/07/16 16:44:56 | WrapperManager: 
INFO   | jvm 1    | 2015/07/16 16:44:57 | 2015-07-16 16:44:57,561 [WARN] - [WrapperSimpleAppMain] com.jolbox.bonecp.BoneCPConfig  - LogStatementsEnabled is set to true, but log4j level is not set at DEBUG. Disabling statement logging.
INFO   | jvm 1    | 2015/07/16 16:45:00 | 2015-07-16 16:45:00,187 [WARN] - [WrapperSimpleAppMain] com.jolbox.bonecp.BoneCPConfig  - LogStatementsEnabled is set to true, but log4j level is not set at DEBUG. Disabling statement logging.
INFO   | jvm 1    | 2015/07/16 16:45:02 | 2015-07-16 16:45:02,558 [WARN] - [WrapperSimpleAppMain] org.dozer.config.GlobalSettings  - Dozer configuration file not found: dozer.properties.  Using defaults for all Dozer global properties.
INFO   | jvm 1    | 2015/07/16 16:45:03 | 2015-07-16 16:45:03,210 [WARN] - [WrapperSimpleAppMain] com.jolbox.bonecp.BoneCPConfig  - LogStatementsEnabled is set to true, but log4j level is not set at DEBUG. Disabling statement logging.
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp: 
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: Encountered an error running main:
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'SystemInitService' defined in URL [jar:file:/E:/WorkSpace/ReconciliationPro/ReconciliationService/classes/Reconciliation.jar!/com/rci/service/SystemInitService.class]: Invocation of init method failed; nested exception is org.springframework.transaction.CannotCreateTransactionException: Could not open Hibernate Session for transaction; nested exception is org.hibernate.exception.GenericJDBCException: Could not open connection
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1553)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:539)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:475)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject(AbstractBeanFactory.java:304)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:228)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:300)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:195)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:703)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:760)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:482)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:139)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.context.support.ClassPathXmlApplicationContext.<init>(ClassPathXmlApplicationContext.java:93)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.rci.MainEntry.main(MainEntry.java:13)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.lang.reflect.Method.invoke(Method.java:597)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:325)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at java.lang.Thread.run(Thread.java:662)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: Caused by: org.springframework.transaction.CannotCreateTransactionException: Could not open Hibernate Session for transaction; nested exception is org.hibernate.exception.GenericJDBCException: Could not open connection
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.orm.hibernate4.HibernateTransactionManager.doBegin(HibernateTransactionManager.java:515)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.transaction.support.AbstractPlatformTransactionManager.getTransaction(AbstractPlatformTransactionManager.java:373)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.transaction.interceptor.TransactionAspectSupport.createTransactionIfNecessary(TransactionAspectSupport.java:420)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.transaction.interceptor.TransactionAspectSupport.invokeWithinTransaction(TransactionAspectSupport.java:257)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.transaction.interceptor.TransactionInterceptor.invoke(TransactionInterceptor.java:95)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:179)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.aop.interceptor.ExposeInvocationInterceptor.invoke(ExposeInvocationInterceptor.java:92)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:179)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:644)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.rci.service.impl.FetchMarkServiceImpl$$EnhancerBySpringCGLIB$$4a091c3.isSystemInit(<generated>)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at com.rci.service.SystemInitService.afterPropertiesSet(SystemInitService.java:44)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(AbstractAutowireCapableBeanFactory.java:1612)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1549)
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: 	... 18 more
INFO   | jvm 1    | 2015/07/16 16:45:05 | WrapperSimpleApp Error: Caused by: org.hibernate.exception.GenericJDBCException: Could not open connection
